Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_Energy_Dominance,MEAN,0.473760,0.238243,0.283291,0.069417,28,28,4,3436
GA_Energy_Dominance,STDDEV,0.126528,0.056922,0.070606,0.030319,,,,
SA_Makespan_Dominance,200,0.259320,0.000000,0.480449,0.001652,3,3,3,2409
SA_Makespan_Dominance,201,0.334604,0.027672,0.418667,0.039106,4,4,0,2467
SA_Makespan_Dominance,202,0.339404,0.000000,0.435657,0.000869,3,3,3,2517
SA_Makespan_Dominance,203,0.656594,0.119025,0.258297,0.005519,5,5,3,2750
SA_Makespan_Dominance,204,0.644682,0.146606,0.299410,0.000000,2,2,1,2650
SA_Makespan_Dominance,205,0.630626,0.128263,0.264191,0.015171,5,5,2,2800
SA_Makespan_Dominance,206,0.272175,0.002353,0.470278,0.000000,2,2,1,2500
SA_Makespan_Dominance,207,0.668494,0.180316,0.263672,0.011869,5,5,2,2767
SA_Makespan_Dominance,208,0.453982,0.224439,0.348866,0.019933,5,5,0,2500
SA_Makespan_Dominance,209,0.647161,0.226157,0.291938,0.341144,4,4,1,2766
SA_Makespan_Dominance,MEAN,0.490704,0.105483,0.353143,0.043526,4,4,16,2612
SA_Makespan_Dominance,STDDEV,0.166372,0.086977,0.085202,0.099883,,,,
SA_Energy_Dominance,200,0.572238,0.225516,0.249660,0.005071,29,29,0,2917
SA_Energy_Dominance,201,0.691256,0.035288,0.187606,0.274762,6,6,1,3134
SA_Energy_Dominance,202,0.755674,0.057799,0.160122,0.079405,12,12,5,3132
SA_Energy_Dominance,203,0.730421,0.105266,0.177629,0.085360,27,27,4,2469
SA_Energy_Dominance,204,0.666204,0.163030,0.213683,0.013956,35,35,0,1910
SA_Energy_Dominance,205,0.694471,0.095250,0.233073,0.102261,5,5,1,2033
SA_Energy_Dominance,206,0.677519,0.006855,0.229275,0.008884,6,6,1,2105
SA_Energy_Dominance,207,0.526513,0.286476,0.264481,0.054355,51,51,1,1897
SA_Energy_Dominance,208,0.678187,0.120718,0.230860,0.313372,4,4,1,2014
SA_Energy_Dominance,209,0.656001,0.143942,0.241102,0.339325,4,4,0,2016
SA_Energy_Dominance,MEAN,0.664848,0.124014,0.218749,0.127675,18,18,14,2362
SA_Energy_Dominance,STDDEV,0.065005,0.081110,0.031832,0.123746,,,,
NSGA-II,200,0.283099,0.184616,0.406297,0.028889,18,18,0,3715
NSGA-II,201,0.296381,0.298893,0.383280,0.030127,33,33,0,3790
NSGA-II,202,0.386050,0.306063,0.342732,0.027381,35,35,0,3885
NSGA-II,203,0.275775,0.196764,0.403875,0.020524,18,18,0,3791
NSGA-II,204,0.306757,0.317134,0.384818,0.028561,22,22,0,3807
NSGA-II,205,0.274167,0.207496,0.411433,0.018107,19,19,0,3699
NSGA-II,206,0.209385,0.118893,0.464403,0.024131,18,18,0,3697
NSGA-II,207,0.322740,0.316930,0.381565,0.018992,28,28,0,3803
NSGA-II,208,0.377863,0.237420,0.344117,0.022803,25,25,0,3801
NSGA-II,209,0.328845,0.273839,0.377266,0.024034,26,26,0,3867
NSGA-II,MEAN,0.306106,0.245805,0.389979,0.024355,24,24,0,3785
NSGA-II,STDDEV,0.049248,0.064168,0.033314,0.004071,,,,
SPEA-II,200,0.293759,0.195748,0.375744,0.103582,16,16,0,4300
SPEA-II,201,0.213205,0.126340,0.464459,0.022202,13,13,0,4234
SPEA-II,202,0.206364,0.109924,0.473346,0.008395,20,20,0,4230
SPEA-II,203,0.317720,0.252913,0.384048,0.024606,28,28,0,4352
SPEA-II,204,0.296564,0.232933,0.388409,0.018891,21,21,0,5419
SPEA-II,205,0.336257,0.287944,0.350148,0.025386,19,19,0,6267
SPEA-II,206,0.163324,0.130904,0.506711,0.026515,14,14,0,5540
SPEA-II,207,0.212211,0.091218,0.469788,0.013520,18,18,0,4692
SPEA-II,208,0.270973,0.213364,0.412337,0.027245,15,15,0,4617
SPEA-II,209,0.318877,0.250339,0.386603,0.024872,25,25,0,6383
SPEA-II,MEAN,0.262925,0.189163,0.421159,0.029521,19,19,0,5003
SPEA-II,STDDEV,0.056410,0.065819,0.050109,0.025359,,,,
AMOSA,200,0.048496,0.112497,0.606934,0.006095,6,6,0,4673
AMOSA,201,0.024644,0.005844,0.651304,0.003527,7,7,0,3859
AMOSA,202,0.021022,0.005489,0.657337,0.004801,5,5,0,3856
AMOSA,203,0.037350,0.061651,0.613429,0.095451,7,7,0,3852
AMOSA,204,0.021854,0.003942,0.655656,0.002039,5,5,2,3853
AMOSA,205,0.020872,0.030634,0.644533,0.002883,6,6,0,3860
AMOSA,206,0.024133,0.021050,0.641659,0.034912,5,5,0,3923
AMOSA,207,0.020535,0.005234,0.656381,0.004685,6,6,1,4543
AMOSA,208,0.021306,0.030764,0.644270,0.050156,3,3,0,4078
AMOSA,209,0.016206,0.006771,0.660304,0.001579,4,4,0,3952
AMOSA,MEAN,0.025642,0.028387,0.643181,0.020613,5,5,3,4044
AMOSA,STDDEV,0.009247,0.032983,0.017589,0.029506,,,,
Universal_Pareto,ALL,0.893772,0.000000,0.000000,0.000000,37,37,37,0
